Generation, Min Fitness, Max Fitness
0,0.0488935447062635,0.9556451598631837
1,0.15009446867225673,0.9556451598631837
2,0.07487329897140049,0.989525714381077
3,0.0787616401127349,0.9900958649613767
4,0.03135171495285194,0.9900958649613767
5,0.06950139940555466,0.9902829874912646
6,0.012473099783544717,0.9902840373871762
7,0.023551438700744054,0.9902840840565597
8,0.021649755656194314,0.9966122208431836
9,0.010283134642708802,0.9966122208431836
10,0.003785804239346824,0.9966122208431836
11,0.0223193978322086,0.9966122208431836
12,0.022825528137771056,0.997557761449926
13,0.021563736279780255,0.997557761449926
14,0.017079756602546237,0.997557761449926
15,0.13071973447871077,0.997557761449926
16,0.2348145356648399,0.998082270934757
17,0.38015151844769457,0.999148808275885
18,0.28619604469836823,0.9991527844825128
19,0.3759000896825665,0.9991586123285259
20,0.08554713445635909,0.9991586123285259
21,0.12804162514187334,0.9991586123285259
22,0.1835271040964177,0.9992580440731152
23,0.2674467561197702,0.9999759871328386
24,0.11279777052233508,0.9999759871328386
25,0.11416281759084912,0.9999759871328386
26,0.2593786889582611,0.9999773390625974
27,0.05906316599694361,0.9999773390625974
28,0.05884442171518556,0.9999773709262766
29,0.4206777291253667,0.9999776668033293
30,0.4437773484912749,0.9999996711163633
31,0.7827686816975886,0.9999996711163633
32,0.9960764424650692,0.9999998896134427
33,0.9990229672629851,0.9999999032695112
34,0.9990278483972546,0.9999999032695112
35,0.9991483032893025,0.9999999578937864
36,0.9999156477023008,0.9999999988619942
37,0.9999682898052344,0.9999999988619942
38,0.9999773709262766,0.9999999988619942
39,0.9999919281467493,0.9999999988619942
40,0.9999977183001368,0.9999999988619942
41,0.99999952089964,0.9999999988619942
42,0.9999996984284965,0.9999999988619942
43,0.9999998759573743,0.9999999988619942
44,0.9999999032695112,0.9999999988619942
45,0.9999999533417634,0.9999999988619942
46,0.9999999715498555,0.9999999988619942
47,0.9999999852059248,0.9999999988619942
48,0.9999999988619942,0.9999999988619942
49,0.9999999988619942,0.9999999988619942
50,0.9999999988619942,0.9999999988619942
51,0.9999999988619942,0.9999999988619942
52,0.9999999988619942,0.9999999988619942
53,0.9999999988619942,0.9999999988619942
54,0.9999999988619942,0.9999999988619942
55,0.9999999988619942,0.9999999988619942
56,0.9999999988619942,0.9999999988619942
57,0.9999999988619942,0.9999999988619942
58,0.9999999988619942,0.9999999988619942
59,0.9999999988619942,0.9999999988619942
60,0.9999999988619942,0.9999999988619942
61,0.9999999988619942,0.9999999988619942
62,0.9999999988619942,0.9999999988619942
63,0.9999999988619942,0.9999999988619942
64,0.9999999988619942,0.9999999988619942
65,0.9999999988619942,0.9999999988619942
66,0.9999999988619942,0.9999999988619942
67,0.9999999988619942,0.9999999988619942
68,0.9999999988619942,0.9999999988619942
69,0.9999999988619942,0.9999999988619942
70,0.9999999988619942,0.9999999988619942
71,0.9999999988619942,0.9999999988619942
72,0.9999999988619942,0.9999999988619942
73,0.9999999988619942,0.9999999988619942
74,0.9999999988619942,0.9999999988619942
75,0.9999999988619942,0.9999999988619942
76,0.9999999988619942,0.9999999988619942
77,0.9999999988619942,0.9999999988619942
78,0.9999999988619942,0.9999999988619942
79,0.9999999988619942,0.9999999988619942
80,0.9999999988619942,0.9999999988619942
81,0.9999999988619942,0.9999999988619942
82,0.9999999988619942,0.9999999988619942
83,0.9999999988619942,0.9999999988619942
84,0.9999999988619942,0.9999999988619942
85,0.9999999988619942,0.9999999988619942
86,0.9999999988619942,0.9999999988619942
87,0.9999999988619942,0.9999999988619942
88,0.9999999988619942,0.9999999988619942
89,0.9999999988619942,0.9999999988619942
90,0.9999999988619942,0.9999999988619942
91,0.9999999988619942,0.9999999988619942
92,0.9999999988619942,0.9999999988619942
93,0.9999999988619942,0.9999999988619942
94,0.9999999988619942,0.9999999988619942
95,0.9999999988619942,0.9999999988619942
96,0.9999999988619942,0.9999999988619942
97,0.9999999988619942,0.9999999988619942
98,0.9999999988619942,0.9999999988619942
99,0.9999999988619942,0.9999999988619942
100,0.9999999988619942,0.9999999988619942